1,861651
2,1615607
3,2117351
4,3160352
5,4216181
6,6145849
7,6576145
8,6803004
9,6966454
10,6837631
11,4409132
12,3484930
13,2293250
14,2056274
15,1743981
16,2307431
17,1985296
18,2749403
19,1990868
20,1218321
21,1213303
22,504779
23,400463
24,477440
25,324494
26,360409
27,450986
28,296900
29,162936
30,479981
31,287914
32,231771
33,205565
34,124457
35,700907
36,185021
37,170651
38,290514
39,156704
40,138498
41,132584
42,178800
43,38912
44,23809
45,20896
46,130911
47,15622
48,26505
49,32394
50,11944
51,20109
52,28109
53,10631
54,1464
55,20995
56,12232
57,15381
58,19740
59,55674
60,19426
61,8348
62,9067
63,8657
64,50919
65,254378
66,3845650
67,2825568
68,170465
69,95764
70,95975
71,98211
72,2550
73,2823
74,2087
75,9564
76,4744
78,2372
79,14221
80,4067
81,1540
82,2525
83,47739
84,7390
85,518324
86,139512
87,14722451
88,1630803
89,205915
90,1358044
91,493597
92,1317776
93,9557
94,2543
95,226261
96,14793
97,23346
98,27836
99,4719
100,1689
101,4026
102,4082
103,14070
104,2712
105,4118
106,4841
107,754
109,4208
111,2826
113,65636
116,581
117,4854
118,42117
119,119
120,5138
121,111171
122,138
123,63995
124,55846
125,146613
126,51264
127,497
128,4011
129,740
130,1465
132,145
134,1732
135,1901
143,307
151,48347
153,1114
155,155
156,1212
157,752
158,1018
159,347
160,1913
162,157723
163,591246
164,204698
166,160439
167,154712
169,1875
170,796535
171,240874
172,257613
173,189
174,55725
175,242162
177,120990
178,278217
181,209
182,387
183,246
185,1052
186,967
187,300
188,530
190,437
192,507746
193,182015
195,173022
196,218
198,182402
199,803
200,173902
201,457
203,1668
204,256
209,971
210,1547
211,466
215,467
217,499
219,459
220,451
231,526570
236,518318
238,375
241,249
243,526287
247,369
248,227088
251,679
252,232593
255,1274448
256,259
257,512778
259,519289
262,236212
265,79391
266,6885
267,266197
268,166051
269,778
270,404931
271,1881594
272,359500
273,246967
274,32936
275,115002
276,458634
277,514588
279,1230
280,356617
281,327693
283,106546
285,1334
286,395
287,1314
290,1600
291,9959
294,601
297,1517
301,14988
305,306
310,10235
314,1509
321,322
323,1600
324,1655
325,77482
327,10581
328,11056
329,14459
335,1876
337,23361
348,109224
349,351
351,388
352,2272380
353,10162
356,2206213
357,2361554
358,2420520
360,198326
361,10665
362,2285501
363,366
365,2243501
367,2374401
371,4739
373,1363610
380,523
382,10232
384,387
385,523
388,10332
389,8450
393,588
394,524
395,7918
397,7511
398,10256
399,535
403,1369
405,7551
412,584
422,423
423,447
427,5439668
429,7592
433,5412987
434,10818712
435,5428343
436,5375898
439,2168
441,5458203
445,641
454,2147
457,4720
463,2194
465,312539
468,310916
474,703
475,715
478,769
480,2427
482,309609
483,315241
486,2258
487,2439
488,308367
490,321120
492,2507
494,319658
500,3440
502,1510
503,3263
504,2260
508,752
517,765832
518,7013
520,3463
527,761501
530,1534952
531,1490338
532,3769
534,772545
537,3547
546,798
577,266721
590,268752
591,645
598,534738
599,256919
614,268197
616,269579
620,2789
622,173990
636,2961
638,676
647,2882
664,5952
666,688
678,3011
690,2898
692,720
701,719
710,3756
711,3074
715,3360
716,6369
718,746
721,751
722,3041
725,806
737,2735
738,3138
739,810
745,802
756,799
758,299068
759,811
833,2472
877,524887
881,528180
887,519035
894,528088
895,529676
896,929
899,528901
908,524396
970,997
980,1007
985,1004
986,1086
996,1109
1000,1126
1004,1045
1008,1040
1012,1036
1017,1127
1033,1051
1035,1065
1036,1057
1038,1062
1041,1171
1042,1124
1044,1173
1046,1072
1054,1072
1056,1082
1057,1069
1061,1089
1079,1186
1096,5098
1113,5219
1128,18742
1138,18341
1141,19152
1142,1040884
1145,6188
1147,19079
1149,5139
1150,18605
1162,18900
1165,23957
1169,5023
1172,5262
1176,25135
1178,2366609
1181,1138511
1182,50211
1190,1100335
1205,1195670
1214,1039341
1305,1481
1307,1326
1316,6253
1344,1358
1367,2941
1372,1386
1379,1394
1380,1398
1381,1609
1391,1586
1397,1422
1399,1620
1421,1606
1423,1642
1466,1577
1474,1558
1512,1632
1515,1637
1525,1673
1539,1669
1543,1661
1576,1689
1690,2229
2021,2101
2544,2821
2563,2820
2568,2799
2580,2832
2590,2860
2616,2871
2623,4465
2629,4529
2630,2940
2646,4502
2661,4577
2663,4486
2706,4533
2746,4635
2920,3146
2994,9073
3012,9204
3028,9058
3062,9328
3108,9423
3138,9508
3204,9670
3390,3619
3424,3656
3456,3665
3487,3711
3497,3713
3500,3716
3503,3722
3690,23957
3757,24596
3822,24353
3851,4342
3860,24315
3892,4369
3896,26120
3907,4388
3921,25543
3925,4109
3929,25261
3932,4517
3952,4464
3969,4451
3985,4471
4011,4171
4022,4231
4023,4244
4038,4244
4062,4235
4115,4253
4140,4618
5473,5757
5847,6596
5858,6584
5867,6566
5881,6574
5910,6640
5933,6679
5952,6675
6459,8939
6490,9028
6521,8935
6586,9015
6591,8905
6606,9041
6613,9045
7848,8550
7904,8641
7926,8608
7937,8627
7966,8662
7988,8702
8000,8744
9078,12223
9147,12263
9175,12335
9176,12341
9219,12356
9229,12368
9357,12497
9762,13397
12009,18318
12046,18471
12096,18398
12104,18519
12107,18613
12126,18660
12131,18692
18540,53146
18568,52837
18581,52649
18590,52800
18603,53183
18608,52965
18648,53003
19028,22663
19164,22775
19218,22934
19304,23129
19366,23152
19395,23171
19474,23429
