2053;16931;17138
10404;17955;445
3449;16931;17138
14394;16419;17128
35450;17187;17138
28854;17187;17130
19202;16931;17130
18655;17187;17130
30345;16675;5555
51083;16931;64836
24538;17443;17132
49836;17699;17140
35803;17187;17130
56878;17443;17132
25443;17699;17140
11360;16419;17128
61549;16931;17138
2165;16931;17130
22706;16931;34218
30321;17443;17132
54124;16419;17128
5902;16675;17128
33719;18211;17134
8021;16419;80
15737;16419;17136
52151;17187;42455
23932;17699;26188
25567;16931;17138
29039;17955;17134
29467;17187;17130
48923;16675;17136
4017;16931;445
64058;17187;17138
57310;17443;17132
52588;17955;17134
3696;16419;17128
63052;16419;17128
13150;17187;17130
64212;17955;445
23384;17699;17132
53820;17699;17140
57466;16675;33968
37949;17699;17140
31188;16675;445
44510;17443;17140
31597;16419;17136
14007;17187;17138
7319;17443;8080
62059;17443;17140
221;16419;17136
61149;17443;17140
64220;17187;3389
26842;16675;17136
62059;16419;445
44319;17443;33964
29392;17955;17134
63292;16419;17136
57310;16675;17128
3696;16419;33960
4666;16931;17138
31188;17699;445
14775;16931;17138
13885;17443;17140
28874;16675;34216
51165;17443;17132
34350;17443;80
22897;16419;17136
59601;16675;23
10404;16931;445
50265;17443;17140
52571;17955;17134
40315;16931;17138
49531;17955;17142
47958;17955;33974
30063;16675;17128
48700;16931;17138
36059;16675;17136
65394;17443;17132
21866;17955;17134
51033;17699;17140
56897;17443;445
39233;16931;80
17347;17443;17140
32163;16931;17130
47653;17699;17140
27229;16931;17130
10103;16675;17128
25187;17699;17140
2219;17955;17134
8561;16675;17136
32611;17187;17138
2147;16675;33960
57466;16675;17128
46814;16419;17136
47677;16931;33962
25380;16675;17136
57310;17955;17142
12470;17187;34218
54798;16931;17130
36051;17955;17134
3546;16931;17138
3802;17699;34220
10798;17699;17132
47677;17955;17134
20529;17187;17130
29130;16931;17130
57195;16675;23
56428;17699;17132
49531;17955;17134
53791;17699;17140
30646;17699;17132
37949;16931;17138
30826;17187;33962
25699;17955;17142
19819;17443;34228
54955;17699;17132
11331;16931;56308
17852;17187;17138
1724;16419;17128
34742;17443;17140
60531;16675;34224
50042;16931;17138
63274;17699;17132
49116;16931;33970
47653;17187;17130
624;17699;34220
51083;17187;64471
52562;17955;80
6517;16675;17136
37181;17955;17142
953;17443;17140
11360;16931;17138
17886;17443;17140
51083;16419;53228
3526;16931;17138
20151;16931;17138
27580;17187;3389
27866;16419;17128
49772;16419;17128
37181;17187;17130
54132;17187;17138
18301;17955;17142
6499;16931;17130
33719;17187;17138
14395;17187;29369
10397;17699;8080
35252;17699;33964
11835;17955;17142
41176;17955;3389
21365;17187;17138
367;17955;17142
34877;17187;17130
36413;17443;17140
25546;16931;17130
24219;17955;5448
4216;16675;17128
11360;16675;17136
14777;17187;17138
36413;17955;17142
43566;17443;443
58154;17187;17130
24219;17187;32222
37181;16931;17138
2219;17699;17140
1596;17443;17132
24026;16675;17128
8025;16675;17136
40906;16675;17136
54124;17187;17130
60027;17443;17132
28783;17699;17132
15562;17955;33974
4025;16419;17128
48059;17699;17140
24219;16675;46824
40315;16419;17136
21597;16675;34216
12349;17699;17132
65410;17699;17132
65394;16931;33962
10090;16931;17130
49116;17955;17142
3662;16419;17136
58974;16931;17138
3255;16419;17136
50042;17699;17132
3293;17443;17140
29039;17187;17130
14395;17187;17130
50042;17955;17142
65394;16675;17136
33719;16675;17128
24695;17443;17132
4922;17443;17132
21553;17443;17132
44233;17955;81
22641;16675;17128
9433;17955;9000
12801;17443;17132
1207;16675;17136
35547;17699;17140
62488;17443;17132
10397;17187;20568
11331;17699;5555
49580;17443;17132
4666;17187;17130
4666;17443;33972
62488;16931;17138
16170;17187;34218
21365;16675;17128
4812;17187;17138
22909;17187;17138
270;16931;17138
47677;16675;17136
